0 length 11495;
0 note 60 100;
24 note 60 0;
1369 note 60 100;
1429 note 60 0;
1670 note 60 100;
1729 note 60 0;
2155 note 60 100;
2207 note 60 0;
2397 note 60 100;
2459 note 60 0;
2836 note 65 100;
2912 note 65 0;
4284 note 65 100;
4351 note 65 0;
4562 note 65 100;
4630 note 65 0;
5007 note 65 100;
5078 note 65 0;
5297 note 65 100;
5369 note 65 0;
5709 note 60 100;
5769 note 60 0;
7169 note 60 100;
7219 note 60 0;
8619 note 68 100;
8691 note 68 0;
9087 note 68 100;
9161 note 68 0;
9351 note 67 100;
9446 note 67 0;
9785 note 67 100;
9856 note 67 0;
10037 note 60 100;
10103 note 60 0;
