0 length 3832;
23 note 71 100;
26 note 71 0;
378 note 71 100;
402 note 71 0;
471 note 72 100;
498 note 72 0;
552 note 74 100;
585 note 74 0;
640 note 76 100;
681 note 76 0;
1813 note 71 100;
1841 note 71 0;
1900 note 72 100;
1904 note 72 0;
1906 note 72 100;
1924 note 72 0;
1994 note 74 100;
2014 note 74 0;
2077 note 76 100;
2105 note 76 0;
2160 note 74 100;
2196 note 74 0;
2245 note 72 100;
2285 note 72 0;
2338 note 71 100;
2376 note 71 0;
2522 note 71 100;
2560 note 71 0;
2609 note 67 100;
2632 note 67 0;
2704 note 64 100;
2745 note 64 0;
