0 length 5729;
0 note 72 100;
60 note 72 0;
344 note 65 100;
384 note 65 0;
620 note 72 100;
683 note 72 0;
795 note 65 100;
843 note 65 0;
953 note 72 100;
999 note 72 0;
1047 note 65 100;
1097 note 65 0;
1155 note 72 100;
1212 note 72 0;
1405 note 72 100;
1460 note 72 0;
1768 note 65 100;
1803 note 65 0;
2033 note 72 100;
2082 note 72 0;
2219 note 65 100;
2265 note 65 0;
2503 note 65 100;
2546 note 65 0;
2674 note 65 100;
2700 note 65 0;
2756 note 65 100;
2784 note 65 0;
2866 note 72 100;
2918 note 72 0;
3214 note 65 100;
3251 note 65 0;
3496 note 72 100;
3535 note 72 0;
3673 note 65 100;
3714 note 65 0;
3816 note 72 100;
3862 note 72 0;
3922 note 65 100;
3962 note 65 0;
4090 note 72 100;
4144 note 72 0;
4278 note 72 100;
4332 note 72 0;
4448 note 65 100;
4500 note 65 0;
4641 note 65 100;
4669 note 65 0;
4726 note 65 100;
4766 note 65 0;
4831 note 72 100;
4877 note 72 0;
4917 note 65 100;
4971 note 65 0;
5104 note 72 100;
5163 note 72 0;
5280 note 65 100;
5319 note 65 0;
5444 note 72 100;
5493 note 72 0;
5543 note 65 100;
5588 note 65 0;
