0 length 2877;
1 note 72 100;
312 note 72 0;
387 note 67 100;
478 note 67 0;
479 note 72 100;
549 note 72 0;
639 note 65 100;
866 note 65 0;
1065 note 64 100;
1167 note 72 100;
1171 note 64 0;
1248 note 72 0;
1267 note 62 100;
1373 note 62 0;
1453 note 60 100;
1611 note 60 0;
1615 note 74 100;
1691 note 74 0;
1723 note 67 100;
1978 note 67 0;
2153 note 69 100;
2249 note 76 100;
2266 note 69 0;
2323 note 76 0;
2334 note 77 100;
2394 note 77 0;
2427 note 71 100;
2633 note 71 0;
2721 note 79 100;
2806 note 79 0;
