0 length 5993;
180 note 72 101;
720 note 72 0;
804 note 72 100;
927 note 72 0;
1246 note 77 100;
1390 note 77 0;
1603 note 79 100;
2426 note 79 0;
2471 note 77 100;
2576 note 77 0;
2712 note 77 100;
2827 note 77 0;
2898 note 79 100;
2989 note 79 0;
3076 note 72 100;
3733 note 72 0;
3821 note 72 100;
4081 note 72 0;
4175 note 67 100;
4400 note 67 0;
4402 note 65 100;
4535 note 65 0;
4558 note 67 100;
4820 note 67 0;
4841 note 72 100;
5103 note 72 0;
5288 note 72 100;
5422 note 72 0;
5496 note 72 100;
5701 note 72 0;
5802 note 72 100;
5929 note 72 0;
