0 length 17290;
0 note 76 101;
0 note 72 101;
0 note 79 101;
2129 note 60 100;
2138 note 67 100;
2151 note 72 0;
2153 note 79 0;
2154 note 64 100;
2171 note 76 0;
4029 note 60 0;
4086 note 64 0;
4087 note 67 0;
4257 note 76 100;
4261 note 72 100;
4266 note 79 100;
5845 note 72 0;
5930 note 76 0;
5953 note 79 0;
6459 note 65 100;
6473 note 72 100;
6484 note 69 100;
8072 note 69 0;
8076 note 72 0;
8081 note 81 100;
8083 note 65 0;
8090 note 77 100;
8479 note 81 0;
8491 note 77 0;
8631 note 76 100;
8647 note 72 100;
10428 note 72 0;
10444 note 76 0;
10754 note 71 100;
10760 note 67 100;
10821 note 74 100;
12618 note 67 0;
12629 note 74 0;
12639 note 71 0;
12949 note 76 100;
12950 note 72 100;
12982 note 79 100;
16292 note 72 0;
16311 note 76 0;
16313 note 79 0;
