0 length 2953;
0 note 60 100;
149 note 67 100;
176 note 60 0;
323 note 69 100;
325 note 67 0;
508 note 70 100;
532 note 69 0;
661 note 70 0;
697 note 72 100;
862 note 70 100;
863 note 72 0;
1051 note 70 0;
1054 note 69 100;
1214 note 69 0;
1228 note 67 100;
1302 note 67 0;
1327 note 64 100;
1434 note 64 0;
1611 note 67 100;
1710 note 67 0;
1789 note 69 100;
1919 note 69 0;
1954 note 70 100;
2092 note 70 0;
2145 note 72 100;
2333 note 70 100;
2374 note 72 0;
2507 note 69 100;
2510 note 70 0;
2590 note 69 0;
2669 note 76 100;
2733 note 76 0;
2765 note 76 100;
2847 note 76 0;
