0 length 8443;
90 note 76 101;
168 note 74 100;
181 note 76 0;
262 note 71 100;
269 note 74 0;
346 note 69 100;
360 note 71 0;
472 note 69 0;
479 note 67 100;
584 note 69 100;
602 note 67 0;
701 note 71 100;
712 note 69 0;
766 note 71 0;
837 note 74 100;
904 note 74 0;
2310 note 79 100;
2362 note 79 0;
2651 note 81 100;
2699 note 81 0;
5106 note 70 100;
5194 note 67 100;
5213 note 70 0;
5270 note 67 0;
5279 note 66 100;
5375 note 63 100;
5388 note 66 0;
5469 note 70 100;
5490 note 63 0;
5548 note 67 100;
5569 note 70 0;
5614 note 67 0;
