0 length 6566;
0 note 60 101;
211 note 60 0;
265 note 60 100;
374 note 60 0;
526 note 67 100;
568 note 67 0;
697 note 67 100;
785 note 67 0;
956 note 65 100;
1020 note 65 0;
1234 note 67 100;
1273 note 67 0;
1430 note 72 100;
1577 note 72 0;
1679 note 65 100;
1827 note 65 0;
1973 note 67 100;
2062 note 67 0;
2876 note 72 100;
3006 note 72 0;
3112 note 65 100;
3272 note 65 0;
3380 note 67 100;
3471 note 67 0;
3583 note 72 100;
3675 note 72 0;
3861 note 65 100;
4009 note 65 0;
4133 note 67 100;
4207 note 67 0;
4319 note 65 100;
4472 note 65 0;
4581 note 67 100;
4644 note 67 0;
