0 length 22977;
0 note 76 100;
280 note 76 0;
316 note 72 100;
583 note 72 0;
664 note 67 100;
967 note 67 0;
1024 note 72 100;
1357 note 72 0;
1403 note 76 100;
1523 note 76 0;
1597 note 74 100;
1679 note 74 0;
1764 note 76 100;
1866 note 76 0;
1947 note 77 100;
2051 note 77 0;
2141 note 76 100;
2733 note 76 0;
2943 note 65 100;
3166 note 65 0;
3214 note 65 100;
3485 note 65 0;
3546 note 65 100;
3765 note 65 0;
3817 note 67 100;
4026 note 67 0;
4098 note 67 100;
4189 note 65 100;
4209 note 67 0;
4285 note 65 0;
4358 note 72 100;
4577 note 72 0;
4659 note 72 100;
4876 note 72 0;
5147 note 72 100;
5240 note 72 0;
5361 note 67 100;
5472 note 67 0;
5537 note 72 100;
5625 note 72 0;
5727 note 76 100;
5956 note 76 0;
6068 note 72 100;
6316 note 72 0;
6436 note 67 100;
6614 note 67 0;
6802 note 72 100;
6957 note 72 0;
7155 note 76 100;
7284 note 76 0;
7346 note 74 100;
7450 note 74 0;
7530 note 76 100;
7631 note 76 0;
7699 note 77 100;
7812 note 77 0;
7898 note 76 100;
8206 note 76 0;
8399 note 76 100;
8504 note 76 0;
8594 note 79 100;
9012 note 79 0;
9106 note 79 100;
9211 note 79 0;
9302 note 79 100;
9457 note 79 0;
9571 note 81 100;
9682 note 81 0;
9815 note 76 100;
9966 note 76 0;
9990 note 74 100;
10030 note 74 0;
10085 note 72 100;
10302 note 72 0;
10403 note 72 100;
10608 note 72 0;
10753 note 72 100;
10888 note 72 0;
10934 note 67 100;
11030 note 67 0;
11125 note 72 100;
11266 note 72 0;
11293 note 76 100;
11365 note 76 0;
11506 note 79 100;
11899 note 79 0;
11983 note 79 100;
12099 note 79 0;
12207 note 79 100;
12487 note 79 0;
12543 note 72 100;
12648 note 72 0;
12713 note 76 100;
12820 note 76 0;
12897 note 79 100;
13185 note 79 0;
13260 note 76 100;
13504 note 76 0;
13630 note 72 100;
13937 note 72 0;
14188 note 69 100;
14267 note 69 0;
14356 note 69 100;
14588 note 69 0;
14626 note 69 100;
14865 note 69 0;
14904 note 69 100;
15024 note 69 0;
15078 note 69 100;
15314 note 69 0;
15354 note 72 100;
15542 note 72 0;
15573 note 69 100;
15627 note 72 100;
15654 note 69 0;
15739 note 72 0;
15795 note 69 100;
15938 note 69 0;
15984 note 67 100;
16287 note 67 0;
16326 note 67 100;
16422 note 67 0;
16503 note 72 100;
16822 note 72 0;
16906 note 67 100;
17006 note 67 0;
17050 note 72 100;
17124 note 72 0;
17229 note 76 100;
17494 note 76 0;
17594 note 72 100;
17849 note 72 0;
17949 note 67 100;
18219 note 67 0;
18304 note 72 100;
18570 note 72 0;
18659 note 76 100;
18776 note 76 0;
18849 note 74 100;
18944 note 74 0;
19024 note 76 100;
19110 note 76 0;
19204 note 77 100;
19296 note 77 0;
19410 note 76 100;
19599 note 76 0;
19663 note 76 100;
19834 note 76 0;
20124 note 79 100;
20199 note 67 100;
20219 note 79 0;
20288 note 67 0;
20293 note 79 100;
20357 note 67 100;
20394 note 79 0;
20452 note 67 0;
20464 note 79 100;
20539 note 67 100;
20568 note 79 0;
20632 note 67 0;
20644 note 79 100;
20721 note 67 100;
20741 note 79 0;
20800 note 67 0;
20815 note 79 100;
20920 note 79 0;
21022 note 76 100;
21153 note 76 0;
21291 note 74 100;
21389 note 74 0;
21553 note 72 100;
21689 note 72 0;
22088 note 72 100;
22167 note 72 0;
22272 note 76 100;
22366 note 76 0;
22397 note 72 100;
22468 note 72 0;
22583 note 67 100;
22667 note 67 0;
