0 length 5723;
0 note 60 101;
0 note 64 101;
148 note 64 0;
150 note 60 0;
208 note 60 100;
216 note 64 100;
310 note 64 0;
312 note 60 0;
412 note 62 100;
418 note 65 100;
574 note 65 0;
581 note 62 0;
664 note 60 100;
665 note 64 100;
842 note 60 0;
843 note 64 0;
1375 note 60 100;
1383 note 64 100;
1561 note 64 0;
1566 note 60 0;
1653 note 60 100;
1661 note 64 100;
1748 note 64 0;
1751 note 60 0;
1874 note 62 100;
1878 note 65 100;
2052 note 65 0;
2060 note 62 0;
2140 note 60 100;
2141 note 64 100;
2299 note 60 0;
2306 note 64 0;
2816 note 69 100;
2819 note 72 100;
3019 note 72 0;
3024 note 69 0;
3108 note 69 100;
3110 note 72 100;
3214 note 72 0;
3223 note 69 0;
3300 note 69 100;
3301 note 72 100;
3417 note 72 0;
3429 note 69 0;
3531 note 67 100;
3532 note 71 100;
3735 note 71 0;
3742 note 67 0;
3838 note 67 100;
3839 note 71 100;
3925 note 71 0;
3929 note 67 0;
4041 note 67 100;
4044 note 71 100;
4142 note 71 0;
4158 note 67 0;
4303 note 60 100;
4307 note 64 100;
4463 note 64 0;
4479 note 60 0;
4549 note 60 100;
4553 note 64 100;
4653 note 64 0;
4658 note 60 0;
4762 note 62 100;
4767 note 65 100;
4895 note 65 0;
4904 note 62 0;
4997 note 60 100;
4997 note 64 100;
5168 note 64 0;
5175 note 60 0;
