0 length 17298;
76 note 76 100;
1138 note 76 0;
1141 note 74 100;
1226 note 74 0;
1462 note 76 100;
1542 note 76 0;
1792 note 74 100;
1860 note 74 0;
2175 note 72 100;
3077 note 72 0;
3270 note 72 100;
3356 note 72 0;
3601 note 74 100;
3693 note 74 0;
3947 note 76 100;
4024 note 76 0;
4305 note 77 100;
5189 note 77 0;
5466 note 76 100;
6043 note 76 0;
6214 note 76 100;
6516 note 74 100;
6517 note 76 0;
7599 note 74 0;
8674 note 76 100;
9709 note 76 0;
9743 note 74 100;
10065 note 74 0;
10099 note 76 100;
10402 note 76 0;
10420 note 74 100;
10772 note 74 0;
10789 note 72 100;
11919 note 72 0;
13302 note 79 100;
13649 note 79 0;
13652 note 77 100;
14001 note 77 0;
14023 note 76 100;
14406 note 76 0;
14413 note 74 100;
14743 note 74 0;
14772 note 76 100;
15131 note 72 100;
15132 note 76 0;
15823 note 67 100;
15831 note 72 0;
16170 note 67 0;
16184 note 72 100;
16743 note 72 0;
