0 length 5713;
0 note 72 101;
0 note 76 101;
1253 note 72 0;
1259 note 76 0;
1433 note 67 100;
1437 note 63 100;
2742 note 63 0;
2743 note 67 0;
2828 note 71 100;
2843 note 75 100;
2852 note 78 100;
4198 note 78 0;
4200 note 75 0;
4209 note 71 0;
4275 note 65 100;
4279 note 69 100;
4301 note 62 100;
4961 note 62 0;
4967 note 65 0;
4968 note 69 0;
5028 note 74 100;
5030 note 77 100;
5032 note 81 100;
5239 note 81 0;
5269 note 74 0;
5272 note 77 0;
5373 note 72 100;
5376 note 76 100;
5387 note 79 100;
5633 note 79 0;
5642 note 72 0;
5652 note 76 0;
