0 length 2829;
180 note 75 101;
206 note 75 0;
373 note 75 100;
488 note 75 0;
506 note 73 100;
588 note 73 0;
687 note 75 100;
820 note 75 0;
886 note 73 100;
978 note 73 0;
1051 note 75 100;
1164 note 75 0;
1260 note 72 100;
1343 note 72 0;
1431 note 75 100;
1522 note 75 0;
1672 note 72 100;
1777 note 72 0;
1876 note 75 100;
1977 note 75 0;
2026 note 73 100;
2110 note 73 0;
2139 note 61 100;
2247 note 61 0;
2319 note 78 100;
2411 note 78 0;
2488 note 74 100;
2578 note 74 0;
2638 note 78 100;
2718 note 78 0;
