0 length 5679;
0 note 72 100;
124 note 72 0;
245 note 74 100;
336 note 74 0;
484 note 76 100;
551 note 76 0;
659 note 62 100;
747 note 62 0;
1583 note 64 100;
1651 note 64 0;
1759 note 69 100;
1838 note 70 100;
1852 note 69 0;
1934 note 72 100;
1943 note 70 0;
2016 note 72 0;
2126 note 63 100;
2200 note 63 0;
2383 note 70 100;
2466 note 70 0;
2614 note 65 100;
2667 note 69 100;
2671 note 65 0;
2753 note 69 0;
2860 note 72 100;
2951 note 72 0;
3544 note 74 100;
3632 note 74 0;
3812 note 76 100;
3879 note 76 0;
4252 note 62 100;
4324 note 62 0;
4965 note 77 100;
5037 note 75 100;
5042 note 77 0;
5125 note 74 100;
5157 note 75 0;
5233 note 74 0;
5338 note 66 100;
5424 note 66 0;
5517 note 72 100;
5599 note 72 0;
