0 length 5618;
0 note 75 101;
0 note 79 101;
0 note 72 101;
1328 note 72 0;
1429 note 75 0;
1436 note 65 100;
1451 note 79 0;
1458 note 68 100;
1478 note 72 100;
2679 note 72 0;
2760 note 65 0;
2767 note 68 0;
2843 note 72 100;
2849 note 75 100;
2849 note 79 100;
3422 note 79 0;
3445 note 75 0;
3515 note 72 0;
3563 note 67 100;
3601 note 71 100;
3777 note 74 100;
4136 note 74 0;
4230 note 71 0;
4240 note 67 0;
4253 note 72 100;
4254 note 79 100;
4263 note 75 100;
4897 note 79 0;
4901 note 72 0;
4905 note 75 0;
