0 length 22638;
0 note 78 100;
44 note 78 0;
57 note 79 100;
355 note 79 0;
498 note 78 100;
550 note 78 0;
559 note 79 100;
663 note 79 0;
757 note 78 100;
792 note 79 100;
798 note 78 0;
897 note 79 0;
967 note 77 100;
1086 note 77 0;
1266 note 75 100;
1369 note 75 0;
1508 note 75 100;
1607 note 77 100;
1617 note 75 0;
1684 note 75 100;
1704 note 77 0;
2495 note 75 0;
4540 note 75 100;
4892 note 74 100;
4932 note 75 0;
5024 note 74 0;
5153 note 74 100;
5223 note 75 100;
5268 note 74 0;
5416 note 74 100;
5470 note 75 0;
5675 note 72 100;
5709 note 74 0;
5784 note 72 0;
5891 note 72 100;
5977 note 74 100;
6003 note 72 0;
6095 note 72 100;
6121 note 74 0;
6670 note 72 0;
8810 note 67 100;
8935 note 67 0;
9167 note 65 100;
9963 note 65 0;
10287 note 67 100;
10440 note 67 0;
10677 note 65 100;
10735 note 65 0;
10818 note 67 100;
10988 note 67 0;
11030 note 70 100;
11158 note 70 0;
11526 note 74 100;
11614 note 75 100;
11644 note 74 0;
11666 note 74 100;
11720 note 75 0;
11908 note 72 100;
11932 note 74 0;
12253 note 72 0;
13832 note 67 100;
13890 note 67 0;
14366 note 65 100;
14420 note 65 0;
14995 note 63 100;
15056 note 63 0;
16294 note 60 100;
16363 note 63 100;
16366 note 60 0;
16403 note 65 100;
16405 note 63 0;
16441 note 67 100;
16456 note 65 0;
16498 note 60 100;
16529 note 67 0;
16551 note 63 100;
16567 note 60 0;
16592 note 65 100;
16614 note 63 0;
16648 note 65 0;
16660 note 81 100;
16765 note 81 0;
16851 note 60 100;
16854 note 60 0;
16866 note 60 100;
16888 note 60 0;
17082 note 60 100;
17152 note 63 100;
17176 note 60 0;
17200 note 65 100;
17215 note 63 0;
17237 note 65 0;
17315 note 79 100;
17390 note 79 0;
