0 length 6081;
0 note 67 100;
96 note 67 0;
190 note 67 100;
280 note 67 0;
355 note 65 100;
451 note 65 0;
530 note 64 100;
618 note 64 0;
716 note 65 100;
822 note 65 0;
907 note 64 100;
970 note 64 0;
1085 note 62 100;
1191 note 62 0;
1262 note 61 100;
1367 note 61 0;
1445 note 65 100;
1554 note 65 0;
1612 note 64 100;
1727 note 64 0;
1786 note 65 100;
1897 note 65 0;
1969 note 67 100;
2070 note 67 0;
2156 note 69 100;
2265 note 69 0;
2325 note 67 100;
2450 note 67 0;
2506 note 69 100;
2601 note 69 0;
2678 note 71 100;
2776 note 71 0;
2859 note 73 100;
3015 note 73 0;
3035 note 71 100;
3184 note 71 0;
3199 note 73 100;
3372 note 73 0;
3382 note 74 100;
3559 note 74 0;
3577 note 73 100;
3740 note 73 0;
3753 note 74 100;
3914 note 74 0;
3939 note 76 100;
4500 note 76 0;
4641 note 74 100;
4884 note 74 0;
4999 note 69 100;
5635 note 69 0;
5752 note 67 100;
5880 note 67 0;
5913 note 65 100;
6024 note 65 0;
