0 length 2876;
0 note 61 100;
59 note 61 0;
171 note 66 100;
228 note 66 0;
351 note 63 100;
413 note 63 0;
538 note 70 100;
613 note 70 0;
717 note 68 100;
790 note 68 0;
910 note 63 100;
992 note 63 0;
1081 note 75 100;
1151 note 75 0;
1255 note 73 100;
1341 note 73 0;
1430 note 63 100;
1524 note 63 0;
1804 note 70 100;
1894 note 70 0;
1996 note 68 100;
2058 note 68 0;
2164 note 66 100;
2250 note 66 0;
2338 note 63 100;
2424 note 63 0;
2530 note 68 100;
2637 note 68 0;
2723 note 70 100;
2797 note 70 0;
