0 length 8593;
0 note 72 101;
918 note 72 0;
1046 note 72 100;
1325 note 72 0;
1375 note 72 100;
1657 note 72 0;
1760 note 74 100;
1970 note 74 0;
2105 note 75 100;
2401 note 75 0;
2485 note 75 100;
2731 note 75 0;
2830 note 72 100;
3103 note 72 0;
3199 note 74 100;
3483 note 74 0;
3557 note 72 100;
3811 note 72 0;
3904 note 71 100;
4147 note 71 0;
4272 note 70 100;
4903 note 70 0;
5007 note 69 100;
5229 note 69 0;
5344 note 68 100;
5967 note 68 0;
6079 note 67 100;
6310 note 67 0;
6473 note 68 100;
7086 note 68 0;
7187 note 65 100;
7187 note 67 100;
7217 note 67 0;
7412 note 65 0;
7502 note 67 100;
7751 note 67 0;
7890 note 79 100;
8004 note 79 0;
8067 note 77 100;
8173 note 77 0;
8250 note 75 100;
8354 note 75 0;
8425 note 74 100;
8534 note 74 0;
