0 length 2844;
0 note 60 100;
62 note 60 0;
253 note 67 100;
313 note 67 0;
509 note 72 100;
581 note 72 0;
700 note 75 100;
759 note 75 0;
866 note 77 100;
937 note 77 0;
1047 note 75 100;
1115 note 75 0;
1174 note 72 100;
1237 note 67 100;
1239 note 72 0;
1298 note 67 0;
1428 note 65 100;
1533 note 65 0;
1686 note 67 100;
1756 note 67 0;
1932 note 74 100;
2008 note 74 0;
2133 note 75 100;
2198 note 75 0;
2315 note 74 100;
2389 note 74 0;
2496 note 67 100;
2562 note 67 0;
2600 note 72 100;
2686 note 74 100;
2693 note 72 0;
2744 note 74 0;
