0 length 5736;
0 note 77 101;
0 note 81 101;
496 note 83 100;
505 note 81 0;
506 note 77 0;
681 note 83 0;
708 note 76 100;
712 note 79 100;
1362 note 76 0;
1367 note 79 0;
1419 note 75 100;
1421 note 78 100;
1944 note 82 100;
1950 note 75 0;
1954 note 78 0;
2133 note 82 0;
2139 note 77 100;
2143 note 74 100;
2823 note 74 0;
2826 note 77 0;
2881 note 73 100;
2884 note 76 100;
3535 note 76 0;
3552 note 79 100;
3911 note 79 0;
3940 note 77 100;
4239 note 77 0;
4240 note 73 0;
4303 note 72 100;
4304 note 76 100;
5549 note 72 0;
5553 note 76 0;
