0 length 5731;
0 note 82 100;
67 note 82 0;
356 note 79 100;
438 note 79 0;
718 note 77 100;
795 note 77 0;
1074 note 75 100;
1152 note 75 0;
1419 note 77 100;
1509 note 77 0;
1802 note 75 100;
1871 note 75 0;
2152 note 72 100;
2251 note 72 0;
2517 note 77 100;
2604 note 77 0;
2868 note 75 100;
2969 note 75 0;
3250 note 74 100;
3357 note 74 0;
3595 note 75 100;
3679 note 75 0;
3968 note 74 100;
4066 note 74 0;
4322 note 75 100;
4391 note 75 0;
4670 note 74 100;
4768 note 74 0;
5034 note 72 100;
5122 note 72 0;
5357 note 77 100;
5477 note 77 0;
