0 length 5730;
0 note 60 100;
55 note 60 0;
132 note 64 100;
252 note 64 0;
326 note 67 100;
446 note 67 0;
502 note 69 100;
621 note 69 0;
684 note 70 100;
802 note 70 0;
860 note 69 100;
978 note 69 0;
1043 note 67 100;
1159 note 67 0;
1227 note 64 100;
1337 note 64 0;
1404 note 65 100;
1518 note 65 0;
1587 note 69 100;
1694 note 69 0;
1759 note 72 100;
1870 note 72 0;
1928 note 74 100;
2042 note 74 0;
2109 note 75 100;
2231 note 75 0;
2304 note 74 100;
2417 note 74 0;
2482 note 72 100;
2585 note 72 0;
2661 note 69 100;
2768 note 69 0;
2839 note 67 100;
2960 note 67 0;
3034 note 71 100;
3135 note 71 0;
3209 note 74 100;
3322 note 74 0;
3386 note 76 100;
3500 note 76 0;
3567 note 77 100;
3677 note 77 0;
3742 note 76 100;
3850 note 76 0;
3914 note 74 100;
4016 note 74 0;
4105 note 71 100;
4183 note 71 0;
4286 note 60 100;
4377 note 60 0;
4462 note 64 100;
4558 note 64 0;
4643 note 67 100;
4745 note 67 0;
4829 note 69 100;
4932 note 69 0;
5013 note 70 100;
5120 note 70 0;
5190 note 69 100;
5292 note 69 0;
5369 note 67 100;
5459 note 67 0;
5554 note 64 100;
5629 note 64 0;
