0 length 25782;
0 note 76 100;
339 note 76 0;
354 note 75 100;
694 note 75 0;
707 note 71 100;
1040 note 71 0;
1046 note 76 100;
1406 note 76 0;
1411 note 71 100;
1787 note 64 100;
1787 note 71 0;
1975 note 64 0;
2150 note 76 100;
2492 note 79 100;
2493 note 76 0;
2851 note 79 0;
2858 note 83 100;
3219 note 83 0;
3227 note 71 100;
3396 note 71 0;
3401 note 75 100;
3592 note 75 0;
3598 note 78 100;
3774 note 83 100;
3780 note 78 0;
3970 note 78 100;
3970 note 83 0;
4125 note 75 100;
4125 note 78 0;
4299 note 76 100;
4306 note 75 0;
4656 note 79 100;
4667 note 76 0;
5013 note 79 0;
5014 note 83 100;
5341 note 83 0;
5346 note 71 100;
5712 note 71 0;
5715 note 81 100;
6115 note 81 0;
6119 note 79 100;
6475 note 79 0;
6492 note 81 100;
6823 note 81 0;
6831 note 83 100;
7178 note 83 0;
7185 note 71 100;
7535 note 71 0;
7535 note 76 100;
8534 note 76 0;
8646 note 71 100;
8977 note 71 0;
8985 note 74 100;
9348 note 79 100;
9450 note 74 0;
9717 note 72 100;
9748 note 79 0;
10049 note 74 100;
10053 note 72 0;
10414 note 74 0;
10415 note 79 100;
10767 note 79 0;
10772 note 69 100;
11120 note 69 0;
11127 note 71 100;
11484 note 71 0;
11491 note 72 100;
11849 note 72 0;
11852 note 74 100;
12213 note 69 100;
12214 note 74 0;
12569 note 69 0;
12572 note 62 100;
12720 note 62 0;
12937 note 78 100;
13118 note 74 100;
13118 note 78 0;
13312 note 74 0;
13314 note 78 100;
13471 note 78 0;
13475 note 74 100;
13657 note 74 0;
13660 note 78 100;
13821 note 78 0;
13824 note 74 100;
14019 note 74 0;
14020 note 79 100;
14189 note 79 0;
14196 note 74 100;
14373 note 74 0;
14376 note 79 100;
14551 note 79 0;
14557 note 74 100;
14729 note 79 100;
14729 note 74 0;
14917 note 79 0;
14923 note 74 100;
15118 note 74 0;
15119 note 78 100;
15515 note 78 0;
15517 note 74 100;
15873 note 79 100;
15874 note 74 0;
16199 note 74 100;
16199 note 79 0;
16361 note 74 0;
16361 note 76 100;
16541 note 76 0;
16542 note 78 100;
16709 note 78 0;
16715 note 74 100;
16900 note 74 0;
16901 note 76 100;
17068 note 76 0;
17079 note 78 100;
17273 note 78 0;
17278 note 79 100;
17878 note 79 0;
17986 note 74 100;
18216 note 74 0;
18364 note 67 100;
18525 note 67 0;
18526 note 71 100;
18704 note 71 0;
18714 note 74 100;
18877 note 79 100;
18884 note 74 0;
19067 note 79 0;
19074 note 74 100;
19237 note 71 100;
19240 note 74 0;
19417 note 67 100;
19419 note 71 0;
19990 note 67 0;
20161 note 71 100;
20358 note 71 0;
20520 note 67 100;
20689 note 71 100;
20691 note 67 0;
20856 note 71 0;
20862 note 74 100;
21027 note 79 100;
21042 note 74 0;
21213 note 74 100;
21213 note 79 0;
21372 note 71 100;
21373 note 74 0;
21565 note 71 0;
21566 note 72 100;
21859 note 72 0;
21922 note 76 100;
22181 note 76 0;
22288 note 79 100;
22486 note 79 0;
22638 note 71 100;
22920 note 71 0;
23015 note 74 100;
23294 note 74 0;
23367 note 79 100;
23558 note 79 0;
23727 note 72 100;
24335 note 72 0;
24462 note 74 100;
24745 note 74 0;
24839 note 79 100;
25141 note 79 0;
25185 note 74 100;
25494 note 74 0;
25546 note 67 100;
25764 note 67 0;
