0 length 17256;
0 note 67 100;
2707 note 65 100;
2726 note 67 0;
2864 note 67 100;
2883 note 65 0;
4483 note 63 100;
4524 note 67 0;
4604 note 62 100;
4647 note 63 0;
4703 note 67 100;
4722 note 62 0;
5578 note 65 100;
5589 note 67 0;
5674 note 65 0;
5709 note 67 100;
6924 note 65 100;
6962 note 67 0;
7036 note 65 0;
7062 note 67 100;
8027 note 67 0;
8076 note 67 100;
8187 note 67 0;
8218 note 65 100;
8372 note 63 100;
8443 note 65 0;
8527 note 63 0;
8539 note 67 100;
10796 note 67 0;
10860 note 67 100;
11000 note 67 0;
11001 note 65 100;
11195 note 67 100;
11208 note 65 0;
11307 note 67 0;
11313 note 65 100;
11396 note 67 100;
11417 note 65 0;
11493 note 67 0;
11500 note 63 100;
11628 note 63 0;
11704 note 67 100;
13770 note 67 0;
13813 note 67 100;
13952 note 65 100;
13956 note 67 0;
14089 note 65 0;
14137 note 67 100;
14227 note 67 0;
14235 note 65 100;
14293 note 65 0;
14328 note 67 100;
14451 note 63 100;
14524 note 63 0;
15689 note 67 0;
15817 note 67 100;
15902 note 67 0;
16023 note 67 100;
16117 note 67 0;
16147 note 65 100;
16200 note 65 0;
16262 note 70 100;
16323 note 70 0;
16427 note 65 100;
16450 note 65 0;
16507 note 67 100;
16655 note 67 0;
