0 length 2839;
0 note 76 101;
0 note 79 101;
116 note 79 0;
120 note 76 0;
244 note 74 100;
246 note 77 100;
309 note 74 0;
321 note 77 0;
503 note 79 100;
508 note 76 100;
556 note 76 0;
563 note 79 0;
685 note 72 100;
689 note 76 100;
901 note 72 0;
911 note 76 0;
947 note 62 100;
947 note 69 100;
947 note 65 100;
1205 note 62 0;
1205 note 69 0;
1213 note 65 0;
1239 note 72 100;
1242 note 76 100;
1312 note 72 0;
1322 note 76 0;
1412 note 77 100;
1422 note 74 100;
1610 note 74 0;
1610 note 77 0;
1687 note 76 100;
1688 note 72 100;
1814 note 72 0;
1818 note 76 0;
1935 note 74 100;
1937 note 77 100;
1992 note 74 0;
1997 note 77 0;
2108 note 74 100;
2110 note 71 100;
2366 note 71 0;
2384 note 74 0;
2508 note 72 100;
2513 note 76 100;
2586 note 72 0;
2597 note 76 0;
2682 note 77 100;
2685 note 74 100;
2760 note 74 0;
2767 note 77 0;
