0 length 7805;
0 note 77 100;
461 note 77 0;
477 note 76 100;
856 note 76 0;
879 note 69 100;
1339 note 69 0;
1634 note 69 100;
1799 note 69 0;
1806 note 67 100;
2232 note 79 100;
2792 note 77 100;
2802 note 79 0;
3293 note 77 0;
3300 note 76 100;
3315 note 67 0;
3532 note 76 0;
3540 note 74 100;
3707 note 62 100;
4465 note 74 0;
4861 note 79 100;
5073 note 62 0;
5081 note 62 100;
5301 note 79 0;
5354 note 77 100;
5756 note 62 0;
5774 note 77 0;
5795 note 76 100;
6099 note 60 100;
6113 note 76 0;
6833 note 72 100;
7287 note 60 0;
7673 note 72 0;
