0 length 3546;
0 note 60 101;
46 note 60 0;
56 note 70 100;
174 note 67 100;
179 note 70 0;
246 note 67 0;
246 note 72 100;
299 note 72 0;
323 note 61 100;
408 note 61 0;
531 note 75 100;
580 note 75 0;
706 note 63 100;
792 note 74 100;
801 note 63 0;
857 note 74 0;
961 note 69 100;
1038 note 69 0;
1196 note 64 100;
1278 note 64 0;
1400 note 77 100;
1464 note 77 0;
1504 note 75 100;
1609 note 75 0;
1626 note 74 100;
1663 note 74 0;
1673 note 66 100;
1796 note 66 0;
1946 note 69 100;
2014 note 69 0;
2119 note 70 100;
2223 note 70 0;
2351 note 69 100;
2410 note 69 0;
2457 note 70 100;
2631 note 67 100;
2631 note 70 0;
2708 note 67 0;
2737 note 61 100;
2832 note 61 0;
2891 note 70 100;
2987 note 70 0;
3068 note 72 100;
3170 note 72 0;
3171 note 70 100;
3273 note 67 100;
3287 note 70 0;
3354 note 67 0;
3419 note 67 100;
3483 note 67 0;
