0 length 22997;
0 note 72 101;
0 note 76 101;
155 note 72 0;
186 note 76 0;
230 note 72 100;
238 note 76 100;
245 note 79 100;
266 note 76 0;
378 note 72 0;
404 note 79 0;
479 note 76 100;
491 note 72 100;
573 note 72 0;
574 note 76 0;
679 note 76 100;
681 note 72 100;
948 note 72 0;
949 note 76 0;
969 note 67 100;
974 note 64 100;
992 note 60 100;
1245 note 67 0;
1253 note 64 0;
1254 note 60 0;
1401 note 76 100;
1403 note 72 100;
1872 note 76 0;
1874 note 79 100;
2027 note 79 0;
2030 note 72 0;
2102 note 76 100;
2104 note 72 100;
2349 note 72 0;
2360 note 76 0;
2402 note 72 100;
2403 note 76 100;
2540 note 72 0;
2550 note 76 0;
2627 note 72 100;
2633 note 76 100;
2700 note 72 0;
2716 note 76 0;
2861 note 81 100;
2861 note 77 100;
3393 note 81 0;
3400 note 77 0;
3523 note 69 100;
3525 note 65 100;
3862 note 69 0;
3869 note 65 0;
4017 note 81 100;
4019 note 77 100;
4136 note 81 0;
4145 note 77 0;
4268 note 76 100;
4281 note 72 100;
4616 note 72 0;
4619 note 76 0;
4676 note 64 100;
4679 note 60 100;
4907 note 60 0;
4908 note 64 0;
4982 note 64 100;
4983 note 60 100;
5165 note 60 0;
5168 note 64 0;
5238 note 72 100;
5239 note 76 100;
5419 note 72 0;
5426 note 76 0;
5711 note 72 100;
5712 note 76 100;
6013 note 72 0;
6018 note 76 0;
6097 note 72 100;
6098 note 76 100;
6228 note 72 0;
6307 note 76 0;
6435 note 79 100;
6437 note 72 100;
6438 note 76 100;
6616 note 79 0;
6619 note 72 0;
6640 note 76 0;
6706 note 72 100;
6709 note 79 100;
6710 note 76 100;
6833 note 72 0;
6840 note 79 0;
6854 note 76 0;
7362 note 72 100;
7371 note 79 100;
7457 note 72 0;
7474 note 79 0;
7537 note 79 100;
7540 note 72 100;
7721 note 79 0;
7739 note 72 0;
7824 note 72 100;
7830 note 79 100;
7967 note 79 0;
8035 note 72 0;
8166 note 72 100;
8166 note 76 100;
8298 note 72 0;
8311 note 76 0;
8371 note 72 100;
8377 note 76 100;
8433 note 72 0;
8441 note 76 0;
8621 note 83 100;
8630 note 79 100;
9677 note 79 0;
9678 note 83 0;
10091 note 72 100;
10096 note 76 100;
10630 note 72 0;
10631 note 76 0;
11230 note 72 100;
11239 note 76 100;
11292 note 72 0;
11306 note 76 0;
11443 note 72 100;
11443 note 76 100;
11693 note 72 0;
11734 note 76 0;
11780 note 72 100;
11788 note 79 100;
12141 note 79 0;
12142 note 72 0;
12205 note 72 100;
12208 note 76 100;
12779 note 76 0;
12791 note 72 0;
12875 note 72 100;
12875 note 76 100;
13274 note 79 100;
13278 note 76 0;
13537 note 79 0;
13547 note 72 0;
13620 note 72 100;
13626 note 76 100;
13897 note 72 0;
13936 note 72 100;
13960 note 79 100;
14133 note 72 0;
14136 note 76 0;
14173 note 79 0;
14364 note 81 100;
14371 note 69 100;
14372 note 77 100;
14372 note 65 100;
15635 note 81 0;
15638 note 77 0;
15640 note 77 100;
15641 note 77 0;
15740 note 69 0;
15750 note 65 0;
15796 note 76 100;
15797 note 72 100;
16031 note 72 0;
16043 note 76 0;
16114 note 72 100;
16120 note 76 100;
16270 note 72 0;
16278 note 76 0;
16320 note 72 100;
16332 note 76 100;
16404 note 72 0;
16405 note 76 0;
16511 note 72 100;
16520 note 76 100;
16850 note 72 0;
16879 note 76 0;
17267 note 72 100;
17273 note 76 100;
17273 note 79 100;
17746 note 79 0;
17761 note 72 0;
17775 note 76 0;
17940 note 69 100;
17941 note 65 100;
18177 note 65 0;
18181 note 69 0;
18243 note 65 100;
18245 note 69 100;
18390 note 69 0;
18395 note 65 0;
18462 note 65 100;
18471 note 69 100;
18574 note 69 0;
18577 note 65 0;
18679 note 72 100;
18681 note 76 100;
19089 note 76 0;
19098 note 72 0;
19212 note 72 100;
19265 note 72 0;
19396 note 72 100;
19400 note 76 100;
19590 note 72 0;
19614 note 76 0;
19671 note 72 100;
19671 note 79 100;
19790 note 72 0;
19804 note 79 0;
19867 note 72 100;
19868 note 76 100;
19958 note 72 0;
19967 note 76 0;
20205 note 71 100;
20213 note 67 100;
20469 note 79 100;
20474 note 83 100;
20484 note 71 0;
20494 note 67 0;
20707 note 79 0;
20711 note 83 0;
20832 note 79 100;
20839 note 83 100;
20998 note 79 0;
20999 note 67 100;
21001 note 71 100;
21008 note 83 0;
21276 note 71 0;
21287 note 67 0;
21305 note 79 100;
21306 note 83 100;
21488 note 83 0;
21498 note 79 0;
21605 note 76 100;
21610 note 72 100;
21808 note 72 0;
21816 note 76 0;
21882 note 72 100;
21887 note 76 100;
22052 note 72 0;
22060 note 76 0;
22104 note 76 100;
22105 note 72 100;
22198 note 72 0;
22218 note 76 0;
22289 note 72 100;
22289 note 79 100;
22434 note 79 0;
22435 note 72 0;
