0 length 2904;
0 note 67 100;
22 note 67 0;
158 note 60 100;
208 note 60 0;
349 note 65 100;
393 note 65 0;
519 note 63 100;
565 note 63 0;
714 note 70 100;
753 note 70 0;
876 note 65 100;
914 note 65 0;
1071 note 67 100;
1145 note 67 0;
1625 note 75 100;
1647 note 75 0;
1803 note 74 100;
1819 note 70 100;
1847 note 74 0;
1858 note 70 0;
1966 note 72 100;
1999 note 72 0;
2156 note 65 100;
2160 note 70 100;
2200 note 70 0;
2204 note 65 0;
2335 note 67 100;
2362 note 67 0;
2519 note 63 100;
2582 note 63 0;
2709 note 70 100;
2747 note 70 0;
