0 length 11481;
0 note 72 101;
1047 note 74 100;
1073 note 72 0;
1428 note 76 100;
1468 note 74 0;
2488 note 79 100;
2514 note 76 0;
2865 note 72 100;
2871 note 79 0;
3970 note 74 100;
3999 note 72 0;
4263 note 76 100;
4274 note 74 0;
5031 note 79 100;
5047 note 76 0;
5127 note 79 0;
5197 note 81 100;
5296 note 81 0;
5531 note 79 100;
5625 note 79 0;
5750 note 72 100;
6831 note 74 100;
6852 note 72 0;
7180 note 76 100;
7212 note 74 0;
8220 note 76 0;
8251 note 74 100;
8347 note 72 100;
8364 note 74 0;
8431 note 72 0;
8432 note 67 100;
8502 note 72 100;
8505 note 67 0;
8598 note 72 0;
8620 note 67 100;
8693 note 72 100;
8699 note 67 0;
9744 note 74 100;
9770 note 72 0;
9979 note 76 100;
9996 note 74 0;
11403 note 76 0;
