0 length 12763;
175 note 75 100;
218 note 75 0;
325 note 63 100;
368 note 63 0;
504 note 70 100;
533 note 70 0;
3220 note 72 100;
3226 note 72 0;
3304 note 69 100;
3340 note 69 0;
3382 note 72 100;
3390 note 72 0;
3402 note 72 100;
3410 note 72 0;
3476 note 69 100;
3524 note 69 0;
3567 note 74 100;
3601 note 74 0;
7164 note 78 100;
7198 note 79 100;
7209 note 78 0;
7379 note 79 0;
7384 note 67 100;
7393 note 69 100;
7464 note 69 0;
7531 note 67 0;
10580 note 67 100;
10617 note 67 0;
10825 note 74 100;
10878 note 74 0;
11133 note 74 100;
11163 note 74 0;
