0 length 2459;
48 note 73 100;
48 note 76 100;
53 note 80 100;
295 note 68 100;
297 note 61 100;
301 note 64 100;
302 note 73 0;
308 note 80 0;
325 note 76 0;
964 note 76 100;
998 note 61 0;
1044 note 68 0;
1088 note 64 0;
1191 note 80 100;
1249 note 73 100;
1422 note 73 0;
1435 note 76 0;
1451 note 68 100;
1469 note 64 100;
1612 note 80 0;
1640 note 76 100;
1661 note 68 0;
1711 note 64 0;
1784 note 73 100;
1813 note 76 0;
1878 note 73 0;
1879 note 68 100;
2059 note 76 100;
2072 note 68 0;
2209 note 80 100;
2225 note 76 0;
2243 note 76 100;
2282 note 80 0;
2346 note 73 100;
2381 note 76 0;
