0 length 23011;
5 note 76 100;
231 note 76 0;
402 note 72 100;
482 note 72 0;
740 note 67 100;
824 note 67 0;
1075 note 72 100;
1154 note 72 0;
1446 note 76 100;
1522 note 76 0;
1628 note 74 100;
1699 note 74 0;
1805 note 76 100;
1865 note 76 0;
1995 note 77 100;
2079 note 77 0;
2187 note 76 100;
2270 note 76 0;
3037 note 67 100;
3098 note 67 0;
3237 note 67 100;
3316 note 67 0;
3427 note 65 100;
3488 note 65 0;
3611 note 65 100;
3766 note 65 0;
3872 note 67 100;
3967 note 67 0;
4148 note 65 100;
4246 note 65 0;
4339 note 65 100;
4436 note 65 0;
4535 note 67 100;
4606 note 67 0;
4837 note 72 100;
5081 note 72 0;
5746 note 76 100;
5916 note 76 0;
6109 note 72 100;
6281 note 72 0;
6466 note 67 100;
6669 note 67 0;
6869 note 72 100;
6988 note 72 0;
7197 note 74 100;
7218 note 76 100;
7231 note 74 0;
7373 note 76 0;
7394 note 74 100;
7424 note 74 0;
7573 note 76 100;
7604 note 76 0;
7747 note 77 100;
7791 note 77 0;
7929 note 76 100;
8008 note 76 0;
8608 note 79 100;
8878 note 79 0;
9137 note 79 100;
9185 note 79 0;
9354 note 79 100;
9592 note 79 0;
9659 note 76 100;
9869 note 76 0;
9918 note 74 100;
9986 note 74 0;
10099 note 72 100;
10211 note 72 0;
10812 note 67 100;
10853 note 67 0;
10984 note 72 100;
11032 note 72 0;
11163 note 76 100;
11211 note 76 0;
11349 note 77 100;
11390 note 77 0;
11533 note 79 100;
12134 note 79 0;
12415 note 72 100;
12454 note 72 0;
12710 note 76 100;
12764 note 76 0;
12942 note 79 100;
13255 note 79 0;
13300 note 76 100;
13534 note 76 0;
13666 note 74 100;
13893 note 74 0;
13920 note 76 100;
13955 note 74 100;
13964 note 76 0;
14001 note 72 100;
14006 note 74 0;
14284 note 72 0;
14401 note 69 100;
14570 note 69 0;
14595 note 72 100;
14638 note 72 0;
15095 note 72 100;
15287 note 72 0;
15373 note 72 100;
15599 note 72 0;
15641 note 69 100;
15713 note 69 0;
15839 note 67 100;
16068 note 67 0;
16124 note 67 100;
16304 note 67 0;
16379 note 69 100;
16431 note 69 0;
16576 note 72 100;
16806 note 72 0;
17268 note 76 100;
17534 note 76 0;
17638 note 72 100;
17873 note 72 0;
17994 note 67 100;
18247 note 67 0;
18355 note 72 100;
18557 note 72 0;
18936 note 72 100;
18990 note 72 0;
19102 note 72 100;
19174 note 72 0;
19266 note 76 100;
19337 note 76 0;
19437 note 74 100;
19546 note 74 0;
19556 note 76 100;
19627 note 76 0;
19725 note 72 100;
19965 note 72 0;
20177 note 77 100;
20321 note 77 0;
20367 note 79 100;
20761 note 79 0;
20879 note 77 100;
20994 note 77 0;
21050 note 79 100;
21352 note 79 0;
21401 note 75 100;
21429 note 75 0;
21446 note 76 100;
21512 note 76 0;
21604 note 72 100;
21797 note 72 0;
22144 note 67 100;
22164 note 67 0;
22322 note 72 100;
22511 note 72 0;
