0 length 22963;
92 note 72 101;
92 note 76 101;
1169 note 72 0;
1181 note 76 0;
1402 note 76 100;
1405 note 72 100;
2213 note 72 0;
2218 note 76 0;
2834 note 81 100;
2840 note 77 100;
3904 note 77 0;
3912 note 81 0;
4341 note 76 100;
4346 note 72 100;
4465 note 72 0;
4477 note 76 0;
4677 note 76 100;
4681 note 72 100;
4914 note 72 0;
4923 note 76 0;
4989 note 72 100;
4990 note 76 100;
5238 note 72 0;
5262 note 76 0;
5744 note 76 100;
5764 note 72 100;
6470 note 72 0;
6480 note 76 0;
7287 note 76 100;
7325 note 72 100;
7647 note 72 0;
7667 note 76 0;
8585 note 79 100;
8586 note 83 100;
9501 note 79 0;
9609 note 83 0;
10063 note 76 100;
10064 note 72 100;
10724 note 72 0;
10730 note 76 0;
11483 note 76 100;
11487 note 72 100;
12231 note 72 0;
12243 note 76 0;
13247 note 76 100;
13248 note 72 100;
14181 note 72 0;
14193 note 76 0;
14390 note 77 100;
14392 note 81 100;
15582 note 77 0;
15584 note 81 0;
15829 note 72 100;
15832 note 76 100;
16633 note 72 0;
16633 note 76 0;
17419 note 72 100;
17422 note 76 100;
18229 note 72 0;
18231 note 76 0;
19497 note 76 100;
19503 note 72 100;
19959 note 72 0;
19970 note 76 0;
20325 note 79 100;
20326 note 83 100;
20520 note 67 100;
20525 note 71 100;
21452 note 83 0;
21460 note 79 0;
21525 note 71 0;
21542 note 67 0;
21581 note 76 100;
21583 note 72 100;
21798 note 60 100;
21799 note 64 100;
22327 note 72 0;
22337 note 76 0;
22445 note 64 0;
22449 note 60 0;
