0 length 5742;
26 note 77 100;
623 note 77 0;
763 note 77 100;
1179 note 77 0;
1207 note 76 100;
1282 note 74 100;
1286 note 76 0;
1446 note 74 0;
1454 note 72 100;
1914 note 72 0;
1971 note 69 100;
2038 note 69 0;
2176 note 65 100;
2663 note 65 0;
2665 note 67 100;
2717 note 69 100;
2729 note 67 0;
2856 note 69 0;
2862 note 70 100;
3392 note 67 100;
3394 note 70 0;
3489 note 67 0;
3617 note 67 100;
4074 note 67 0;
4082 note 65 100;
4146 note 67 100;
4153 note 65 0;
4243 note 67 0;
4329 note 69 100;
4857 note 65 100;
4861 note 69 0;
4916 note 65 0;
5061 note 62 100;
5625 note 62 0;
