0 length 28765;
0 note 75 100;
117 note 75 0;
213 note 74 100;
313 note 74 0;
510 note 70 100;
596 note 70 0;
689 note 67 100;
828 note 67 0;
1423 note 70 100;
1529 note 70 0;
1634 note 68 100;
1697 note 68 0;
1721 note 70 100;
1795 note 70 0;
3040 note 70 100;
3122 note 69 100;
3139 note 70 0;
3218 note 69 0;
3238 note 67 100;
3355 note 63 100;
3385 note 67 0;
3478 note 63 0;
3566 note 74 100;
3660 note 74 0;
3965 note 75 100;
4019 note 75 0;
4241 note 74 100;
4330 note 74 0;
5950 note 82 100;
6034 note 80 100;
6059 note 82 0;
6178 note 80 0;
6345 note 75 100;
6371 note 79 100;
6419 note 75 0;
6449 note 79 0;
7210 note 72 100;
7358 note 72 0;
7392 note 79 100;
7482 note 75 100;
7493 note 79 0;
7575 note 77 100;
7576 note 75 0;
7689 note 77 0;
7784 note 79 100;
7914 note 79 0;
7938 note 77 100;
8038 note 77 0;
8177 note 79 100;
8297 note 79 0;
8803 note 80 100;
8910 note 79 100;
8936 note 80 0;
9042 note 79 0;
9096 note 77 100;
9188 note 77 0;
9203 note 75 100;
9302 note 75 0;
9373 note 79 100;
9483 note 79 0;
9600 note 75 100;
9634 note 77 100;
9672 note 75 0;
9742 note 77 0;
9888 note 72 100;
10005 note 72 0;
10073 note 75 100;
10196 note 75 0;
10311 note 75 100;
10430 note 75 0;
10523 note 77 100;
10605 note 75 100;
10625 note 77 0;
10744 note 75 0;
10814 note 72 100;
10915 note 72 0;
11669 note 77 100;
11743 note 75 100;
11763 note 77 0;
11849 note 72 100;
11871 note 75 0;
11915 note 70 100;
11936 note 72 0;
12028 note 67 100;
12053 note 70 0;
12148 note 67 0;
12224 note 72 100;
12331 note 72 0;
12499 note 72 100;
12612 note 72 0;
12742 note 72 100;
12849 note 72 0;
13109 note 77 100;
13190 note 75 100;
13220 note 77 0;
13292 note 72 100;
13308 note 75 0;
13364 note 72 0;
13371 note 70 100;
13493 note 67 100;
13521 note 70 0;
13599 note 67 0;
13661 note 79 100;
13787 note 79 0;
13926 note 75 100;
14010 note 75 0;
14227 note 75 100;
14318 note 75 0;
14559 note 79 100;
14632 note 75 100;
14655 note 79 0;
14736 note 72 100;
14749 note 75 0;
14793 note 70 100;
14794 note 72 0;
14926 note 72 100;
14940 note 70 0;
15019 note 72 0;
15034 note 67 100;
15119 note 75 100;
15153 note 67 0;
15237 note 80 100;
15238 note 75 0;
15316 note 75 100;
15344 note 80 0;
15428 note 72 100;
15447 note 75 0;
15492 note 72 0;
15517 note 70 100;
15592 note 75 100;
15612 note 70 0;
15674 note 75 0;
15704 note 67 100;
15799 note 79 100;
15807 note 67 0;
15864 note 75 100;
15888 note 79 0;
15980 note 72 100;
15993 note 75 0;
16037 note 72 0;
16058 note 70 100;
16128 note 70 0;
16144 note 79 100;
16236 note 75 100;
16260 note 79 0;
16342 note 72 100;
16357 note 75 0;
16398 note 72 0;
16410 note 70 100;
16488 note 70 0;
16502 note 77 100;
16612 note 75 100;
16615 note 77 0;
16617 note 73 100;
16683 note 73 0;
16712 note 75 0;
16725 note 71 100;
16735 note 67 100;
16751 note 71 0;
16832 note 76 100;
16852 note 67 0;
16942 note 76 0;
16959 note 74 100;
16962 note 72 100;
17017 note 72 0;
17024 note 74 0;
17064 note 68 100;
17154 note 68 0;
