0 length 5717;
0 note 62 101;
0 note 77 100;
0 note 74 100;
0 note 65 100;
1049 note 74 0;
1079 note 74 100;
1132 note 74 0;
1135 note 77 0;
1155 note 81 100;
1175 note 62 0;
1177 note 65 0;
1347 note 81 0;
1372 note 79 100;
1377 note 64 100;
1385 note 67 100;
1391 note 76 100;
2455 note 67 0;
2479 note 64 0;
2515 note 64 100;
2617 note 76 0;
2618 note 64 0;
2632 note 79 0;
2806 note 65 100;
2811 note 69 100;
2816 note 81 100;
2819 note 77 100;
3935 note 65 0;
3974 note 81 0;
4007 note 77 0;
4091 note 69 0;
4243 note 64 100;
4258 note 76 100;
4261 note 80 100;
4276 note 68 100;
4953 note 68 0;
5089 note 68 100;
5255 note 68 0;
5481 note 64 0;
5486 note 76 0;
5487 note 80 0;
