0 length 5702;
92 note 60 101;
92 note 64 101;
517 note 64 0;
528 note 60 0;
712 note 69 100;
858 note 69 0;
949 note 69 100;
1052 note 69 0;
1188 note 69 100;
1272 note 69 0;
1383 note 60 100;
1391 note 64 100;
1936 note 60 0;
1948 note 64 0;
2098 note 65 100;
2100 note 62 100;
2271 note 62 0;
2280 note 65 0;
2378 note 62 100;
2382 note 65 100;
2455 note 65 0;
2466 note 62 0;
2616 note 72 100;
2714 note 72 0;
2839 note 60 100;
2841 note 64 100;
3092 note 60 0;
3104 note 64 0;
3182 note 60 100;
3185 note 64 100;
3294 note 64 0;
3297 note 60 0;
3365 note 60 100;
3377 note 64 100;
3471 note 64 0;
3481 note 60 0;
3578 note 69 100;
3749 note 69 0;
3835 note 69 100;
3952 note 69 0;
4061 note 69 100;
4144 note 69 0;
4247 note 65 100;
4254 note 63 100;
4799 note 63 0;
4879 note 65 0;
4969 note 64 100;
4976 note 68 100;
5578 note 64 0;
5612 note 68 0;
