0 length 5896;
180 note 69 101;
180 note 72 101;
842 note 69 0;
842 note 72 0;
863 note 62 100;
865 note 66 100;
1568 note 66 0;
1573 note 67 100;
1573 note 71 100;
1579 note 62 0;
2270 note 67 0;
2277 note 71 0;
2284 note 64 100;
2284 note 60 100;
2964 note 64 0;
2977 note 60 0;
3021 note 69 100;
3022 note 67 100;
3066 note 65 100;
3091 note 65 0;
3148 note 67 0;
3152 note 67 100;
3698 note 67 0;
3720 note 69 0;
3775 note 63 100;
3779 note 66 100;
4436 note 66 0;
4444 note 67 100;
4445 note 64 100;
4451 note 63 0;
5749 note 64 0;
5749 note 67 0;
