0 length 11423;
0 note 74 100;
75 note 75 100;
78 note 74 0;
144 note 74 100;
156 note 75 0;
237 note 74 0;
238 note 72 100;
303 note 72 0;
325 note 65 100;
453 note 65 0;
1415 note 74 100;
1515 note 75 100;
1524 note 74 0;
1593 note 74 100;
1598 note 75 0;
1698 note 74 0;
1713 note 72 100;
1751 note 72 0;
1770 note 67 100;
1850 note 67 0;
2851 note 74 100;
2946 note 75 100;
2952 note 74 0;
3027 note 74 100;
3031 note 75 0;
3131 note 74 0;
3143 note 72 100;
3197 note 72 0;
3229 note 69 100;
3299 note 69 0;
4313 note 74 100;
4417 note 75 100;
4433 note 74 0;
4528 note 77 100;
4554 note 75 0;
4587 note 74 100;
4604 note 77 0;
4668 note 74 0;
4690 note 77 100;
4691 note 79 100;
4715 note 77 0;
4819 note 79 0;
4948 note 79 100;
5067 note 79 0;
5131 note 77 100;
5240 note 77 0;
5319 note 75 100;
5414 note 75 0;
5507 note 74 100;
5571 note 74 0;
5697 note 72 100;
5799 note 72 0;
5883 note 74 100;
5972 note 74 0;
5976 note 75 100;
6058 note 75 0;
6157 note 72 100;
6242 note 72 0;
6301 note 65 100;
6400 note 65 0;
6567 note 72 100;
6662 note 72 0;
6738 note 74 100;
6830 note 74 0;
6832 note 72 100;
6916 note 72 0;
7000 note 75 100;
7065 note 75 0;
7166 note 74 100;
7268 note 74 0;
7354 note 72 100;
7428 note 72 0;
7458 note 75 100;
7525 note 75 0;
7644 note 67 100;
7731 note 67 0;
7770 note 72 100;
7857 note 72 0;
7962 note 74 100;
8064 note 74 0;
8075 note 75 100;
8156 note 75 0;
8267 note 74 100;
8361 note 74 0;
8439 note 72 100;
8519 note 72 0;
8611 note 75 100;
8694 note 75 0;
8698 note 74 100;
8802 note 72 100;
8810 note 74 0;
8882 note 72 0;
8920 note 69 100;
9006 note 69 0;
9135 note 74 100;
9232 note 74 0;
9275 note 69 100;
9366 note 69 0;
9495 note 72 100;
9583 note 72 0;
9618 note 69 100;
9669 note 69 0;
9711 note 74 100;
9833 note 75 100;
9850 note 74 0;
9941 note 75 0;
10033 note 79 100;
10229 note 79 0;
10253 note 77 100;
10330 note 77 0;
10336 note 75 100;
10446 note 72 100;
10451 note 75 0;
10533 note 72 0;
10635 note 72 100;
10727 note 72 0;
10749 note 74 100;
10834 note 74 0;
10859 note 67 100;
10937 note 63 100;
10953 note 67 0;
11027 note 65 100;
11068 note 63 0;
11100 note 70 100;
11134 note 65 0;
11180 note 67 100;
11200 note 70 0;
11290 note 67 0;
11311 note 74 100;
11409 note 74 0;
