0 length 2843;
0 note 60 101;
129 note 60 0;
236 note 67 100;
338 note 67 0;
468 note 72 100;
542 note 72 0;
686 note 75 100;
753 note 75 0;
854 note 74 100;
921 note 74 0;
1053 note 70 100;
1144 note 67 100;
1147 note 70 0;
1210 note 67 0;
1243 note 65 100;
1327 note 65 0;
1440 note 63 100;
1606 note 63 0;
1679 note 67 100;
1769 note 67 0;
1886 note 70 100;
1950 note 70 0;
2039 note 66 100;
2110 note 66 0;
2144 note 78 100;
2232 note 78 0;
2315 note 79 100;
2400 note 79 0;
2499 note 78 100;
2609 note 78 0;
2624 note 79 100;
2739 note 79 0;
